"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"Speak Percussion","","Music","Arts Projects Organisations","$31,200.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"The Kite String Tangle Pty Ltd","","Music","Arts Projects Organisations","$19,636.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"The Trustee for Peggy Glanville-Hicks Composers Trust","Peggy Glanville-Hicks Composers Trust","Music","Arts Projects Organisations","$80,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","WENTWORTH"
"Tyalgum Music Festival Inc","","Music","Arts Projects Organisations","$17,500.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BRADFIELD"
"University of Sydney - Sydney Conservatorium of Music","","Music","Arts Projects Organisations","$14,521.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Van Diemen's Band Inc","","Music","Arts Projects Organisations","$34,993.00","24-APR-2018","06-FEB-2018","TAS","AUSTRALIA","DENISON"
"Baker, Caiti","","Music","Development Grants Individuals and Groups","$18,180.00","24-APR-2018","06-FEB-2018","NT","AUSTRALIA","SOLOMON"
"Biggs, Alexander","","Music","Development Grants Individuals and Groups","$7,293.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Blanes, Hue","","Music","Development Grants Individuals and Groups","$7,622.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"City Calm Down","","Music","Development Grants Individuals and Groups","$24,991.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","KOOYONG"
"King, Louise","","Music","Development Grants Individuals and Groups","$10,000.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","FISHER"
"Kokkoris, Elias","Lee","Music","Development Grants Individuals and Groups","$17,660.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","MCPHERSON"
"Koubaroulis, Kiriaki","Kiri","Music","Development Grants Individuals and Groups","$7,560.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","HUGHES"
"Lacey, Genevieve","","Music","Development Grants Individuals and Groups","$21,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Lebbing, Maaike","Kito","Music","Development Grants Individuals and Groups","$22,687.00","24-APR-2018","06-FEB-2018","WA","AUSTRALIA","O'CONNOR"
"Rubiks Collective","","Music","Development Grants Individuals and Groups","$14,270.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Sallybanks, Georgia","","Music","Development Grants Individuals and Groups","$14,924.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Whitta, Wilbur","","Music","Development Grants Individuals and Groups","$24,254.00","24-APR-2018","06-FEB-2018","","UK",""
"Zylberszpic, Reuben","","Music","Development Grants Individuals and Groups","$9,900.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Bridget Balodis and Rachel Perks","","Theatre","Arts Projects For Individuals and Groups","$21,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Davey, Margaret","Maude Davey","Theatre","Arts Projects For Individuals and Groups","$20,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Guy, Britt","","Theatre","Arts Projects For Individuals and Groups","$49,996.00","24-APR-2018","06-FEB-2018","NT","AUSTRALIA","SOLOMON"
"illUMEnate","","Theatre","Arts Projects For Individuals and Groups","$25,000.00","24-APR-2018","06-FEB-2018","WA","AUSTRALIA","STIRLING"
"James, Andrea","","Theatre","Arts Projects For Individuals and Groups","$49,595.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Nat Randall & Anna Breckon","","Theatre","Arts Projects For Individuals and Groups","$37,864.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BARTON"
"Ruben, Govin","","Theatre","Arts Projects For Individuals and Groups","$32,850.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MARIBYRNONG"
"Williams, David","","Theatre","Arts Projects For Individuals and Groups","$22,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","DEAKIN"
"Woods, David","","Theatre","Arts Projects For Individuals and Groups","$11,878.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Arena Theatre Company Ltd","","Theatre","Arts Projects Organisations","$100,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BENDIGO"
"Australian Children's Performing Arts Company t/a Windmill","Windmill Performing Arts","Theatre","Arts Projects Organisations","$53,261.00","24-APR-2018","06-FEB-2018","SA","AUSTRALIA","ADELAIDE"
"Contemporary Asian Australian Performance Incorporated","","Theatre","Arts Projects Organisations","$83,567.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Gravity and Other Myths","","Theatre","Arts Projects Organisations","$86,554.00","24-APR-2018","06-FEB-2018","SA","AUSTRALIA","ADELAIDE"
"Lab Kelpie Inc.","","Theatre","Arts Projects Organisations","$42,873.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"St Martins Youth Arts Centre","","Theatre","Arts Projects Organisations","$54,980.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","HIGGINS"
"Witness Performance","","Theatre","Arts Projects Organisations","$35,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","JAGAJAGA"
"Berger, Rebekah","Bek Berger","Theatre","Development Grants Individuals and Groups","$8,791.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"McRostie, William","Will","Theatre","Development Grants Individuals and Groups","$5,135.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Orzech, Aaron","","Theatre","Development Grants Individuals and Groups","$12,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Philpott, Lachlan","","Theatre","Development Grants Individuals and Groups","$22,536.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Robinson, Harriet","Harriet","Theatre","Development Grants Individuals and Groups","$5,030.00","24-APR-2018","06-FEB-2018","NT","AUSTRALIA","SOLOMON"
"Bus Projects Inc","","Visual Arts","Arts Projects Organisations","$26,890.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Centre for Contemporary Photography Inc","","Visual Arts","Arts Projects Organisations","$45,989.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Contemporary SA Incorporated trading as ACE Open","ACE Open","Visual Arts","Arts Projects Organisations","$99,440.00","24-APR-2018","06-FEB-2018","SA","AUSTRALIA","ADELAIDE"
"KickArts Contemporary Arts Limited","Kick Arts Collective Inc","Visual Arts","Arts Projects Organisations","$45,000.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","LEICHHARDT"
"Monash University Museum of Art","","Visual Arts","Arts Projects Organisations","$39,780.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Museum and Gallery Services Queensland Ltd.","","Visual Arts","Arts Projects Organisations","$94,000.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","BRISBANE"
"TarraWarra Museum of Art","","Visual Arts","Arts Projects Organisations","$86,564.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","CASEY"
"Augoustinos, Connie (Constantina)","","Visual Arts","Development Grants Individuals and Groups","$9,900.00","24-APR-2018","06-FEB-2018","SA","AUSTRALIA","ADELAIDE"
"Beckingham, Kate","","Visual Arts","Development Grants Individuals and Groups","$7,530.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Borg, Pia","","Visual Arts","Development Grants Individuals and Groups","$10,330.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","GELLIBRAND"
"Bushby, Claire","","Visual Arts","Development Grants Individuals and Groups","$5,400.00","24-APR-2018","06-FEB-2018","WA","AUSTRALIA","PERTH"
"Cue, Georgina","","Visual Arts","Development Grants Individuals and Groups","$12,636.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","JAGAJAGA"
"Dixon-Ward, Bin","Belinda Geraldine Dixon-Ward","Visual Arts","Development Grants Individuals and Groups","$7,520.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Herbert, Grace","","Visual Arts","Development Grants Individuals and Groups","$6,000.00","24-APR-2018","06-FEB-2018","TAS","AUSTRALIA","DENISON"
"Jacobs, Susan","","Visual Arts","Development Grants Individuals and Groups","$20,493.00","24-APR-2018","06-FEB-2018","LONDON","UK",""
"Johnson, Jess","Jess Johnson","Visual Arts","Development Grants Individuals and Groups","$19,585.00","24-APR-2018","06-FEB-2018","NY - NEW YORK","USA",""
"McBurnie, Jonathan","","Visual Arts","Development Grants Individuals and Groups","$5,022.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","HERBERT"
"Moore, Timothy Vernon","TV Moore","Visual Arts","Development Grants Individuals and Groups","$17,730.00","24-APR-2018","06-FEB-2018","ACT","AUSTRALIA","FENNER"
"Saxelby, Georgia","","Visual Arts","Development Grants Individuals and Groups","$25,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Slee, Simone","","Visual Arts","Development Grants Individuals and Groups","$23,268.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Smith, Dean","","Visual Arts","Development Grants Individuals and Groups","$24,065.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BENDIGO"
"Blake, Jenn","","Community Arts and Cultural Development","Arts Projects For Individuals and Groups","$31,500.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Jabur, Nazar","Niz Jabour","Community Arts and Cultural Development","Arts Projects For Individuals and Groups","$16,940.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","NEWCASTLE"
"Knox, Gwendolyn","Gwen Knox","Community Arts and Cultural Development","Arts Projects For Individuals and Groups","$48,602.00","23-APR-2018","06-FEB-2018","WA","AUSTRALIA","DURACK"
"Lampton, Pauline","","Community Arts and Cultural Development","Arts Projects For Individuals and Groups","$40,908.00","23-APR-2018","06-FEB-2018","QLD","AUSTRALIA","LEICHHARDT"
"The Veiqia Project","","Community Arts and Cultural Development","Arts Projects For Individuals and Groups","$50,000.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BENNELONG"
"Blacktown City Council","","Community Arts and Cultural Development","Arts Projects Organisations","$93,853.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GREENWAY"
"Curious Works","CuriousWorks","Community Arts and Cultural Development","Arts Projects Organisations","$100,000.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","WERRIWA"
"DADAA Ltd","","Community Arts and Cultural Development","Arts Projects Organisations","$100,000.00","23-APR-2018","06-FEB-2018","WA","AUSTRALIA","FREMANTLE"
"Incite Arts Inc","","Community Arts and Cultural Development","Arts Projects Organisations","$75,469.00","23-APR-2018","06-FEB-2018","NT","AUSTRALIA","LINGIARI"
"Katherine Regional Arts Inc","Arts Katherine","Community Arts and Cultural Development","Arts Projects Organisations","$98,169.00","23-APR-2018","06-FEB-2018","NT","AUSTRALIA","LINGIARI"
"Lock the Gate Alliance LTD","","Community Arts and Cultural Development","Arts Projects Organisations","$47,378.00","23-APR-2018","06-FEB-2018","NT","AUSTRALIA","SOLOMON"
"NSW Service for the Treatment and Rehabilitation of Torture & Trauma Survivors","","Community Arts and Cultural Development","Arts Projects Organisations","$28,130.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","FOWLER"
"THE THIRD SPACE","","Community Arts and Cultural Development","Arts Projects Organisations","$63,200.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BENNELONG"
"Tutti Arts Incorporated","Tutti Ensemble Inc.","Community Arts and Cultural Development","Arts Projects Organisations","$47,500.00","23-APR-2018","06-FEB-2018","SA","AUSTRALIA","BOOTHBY"
"Craig, Holly","","Community Arts and Cultural Development","Development Grants Individuals and Groups","$21,759.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Pa'apa'a, Lia","","Community Arts and Cultural Development","Development Grants Individuals and Groups","$22,142.00","23-APR-2018","06-FEB-2018","QLD","AUSTRALIA","LEICHHARDT"
"Roma Greer, Kathleen","Kat Roma Greer","Community Arts and Cultural Development","Development Grants Individuals and Groups","$9,500.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Hamilton, Antony","","Dance","Arts Projects For Individuals and Groups","$39,000.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Ogle, Rachel Arianne","","Dance","Arts Projects For Individuals and Groups","$12,283.00","23-APR-2018","06-FEB-2018","WA","AUSTRALIA","PERTH"
"Slown, Smallened & Son","","Dance","Arts Projects For Individuals and Groups","$21,430.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Tyas Tunggal, Jade Dewi","","Dance","Arts Projects For Individuals and Groups","$23,375.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","PAGE"
"Ausdance VIC Trading under Australian Dance Council (VIC) Inc","Ausdance VIC","Dance","Arts Projects Organisations","$28,504.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","GELLIBRAND"
"Critical Path Inc","","Dance","Arts Projects Organisations","$99,988.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","WENTWORTH"
"Stephanie Lake Company","","Dance","Arts Projects Organisations","$28,996.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Stompin","Stompin","Dance","Arts Projects Organisations","$50,000.00","23-APR-2018","06-FEB-2018","TAS","AUSTRALIA","BASS"
"STRUT Dance Incorporated","Strut Dance","Dance","Arts Projects Organisations","$50,000.00","23-APR-2018","06-FEB-2018","WA","AUSTRALIA","PERTH"
"Aiken, Sarah","","Dance","Development Grants Individuals and Groups","$10,000.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Booth-Remmers, Tobiah","","Dance","Development Grants Individuals and Groups","$5,013.00","23-APR-2018","06-FEB-2018","SA","AUSTRALIA","STURT"
"Bowman, Emily","","Dance","Development Grants Individuals and Groups","$23,938.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Connolly-Hiatt, Lydia","","Dance","Development Grants Individuals and Groups","$6,582.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","GELLIBRAND"
"Anwar, Rushdi","","Visual Arts","Arts Projects For Individuals and Groups","$41,555.00","23-APR-2018","06-FEB-2018","THANYABURI, PATHUM THANI","THAILAND",""
"Austin, Kelly","","Visual Arts","Arts Projects For Individuals and Groups","$17,550.00","23-APR-2018","06-FEB-2018","TAS","AUSTRALIA","FRANKLIN"
"Beata Batorowicz","","Visual Arts","Arts Projects For Individuals and Groups","$44,409.00","23-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GROOM"
"Brain, Tega","","Visual Arts","Arts Projects For Individuals and Groups","$23,300.00","23-APR-2018","06-FEB-2018","NY","USA",""
"Coates, Erin","","Visual Arts","Arts Projects For Individuals and Groups","$17,630.00","23-APR-2018","06-FEB-2018","WA","AUSTRALIA","PERTH"
"Coulter, Ross","","Visual Arts","Arts Projects For Individuals and Groups","$12,801.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Discipline","","Visual Arts","Arts Projects For Individuals and Groups","$22,500.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Elizabeth Woods and Kevin Leong","","Visual Arts","Arts Projects For Individuals and Groups","$35,000.00","23-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GRIFFITH"
"Emery, Troy","","Visual Arts","Arts Projects For Individuals and Groups","$14,700.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"FERRAN, ANNE","","Visual Arts","Arts Projects For Individuals and Groups","$19,284.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","WENTWORTH"
"Han, Stephanie","Stevie S. Han","Visual Arts","Arts Projects For Individuals and Groups","$15,633.00","23-APR-2018","06-FEB-2018","TAS","AUSTRALIA","DENISON"
"Haselton, Louise","","Visual Arts","Arts Projects For Individuals and Groups","$19,740.00","23-APR-2018","06-FEB-2018","SA","AUSTRALIA","PORT ADELAIDE"
"Lee, Lindy","","Visual Arts","Arts Projects For Individuals and Groups","$20,000.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","RICHMOND"
"McMillan, Kate","","Visual Arts","Arts Projects For Individuals and Groups","$27,500.00","23-APR-2018","06-FEB-2018","LONDON","UK",""
"Mestrom, Sanné","Sanna","Visual Arts","Arts Projects For Individuals and Groups","$28,500.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","DUNKLEY"
"Milledge, Clare","","Visual Arts","Arts Projects For Individuals and Groups","$26,870.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","RICHMOND"
"Morawetz, Sara","","Visual Arts","Arts Projects For Individuals and Groups","$27,191.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","HUNTER"
"Nguyen, Hong An James","","Visual Arts","Arts Projects For Individuals and Groups","$26,150.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BLAXLAND"
"Normoyle, Kusum","","Visual Arts","Arts Projects For Individuals and Groups","$23,506.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Rae, Clare","","Visual Arts","Arts Projects For Individuals and Groups","$10,793.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Richardson, Elvis","","Visual Arts","Arts Projects For Individuals and Groups","$26,500.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Roe, Alex Martinis","","Visual Arts","Arts Projects For Individuals and Groups","$20,000.00","23-APR-2018","06-FEB-2018","ACT","AUSTRALIA","FENNER"
"Rollins, Jake","","Visual Arts","Arts Projects For Individuals and Groups","$17,000.00","23-APR-2018","06-FEB-2018","SA","AUSTRALIA","MAYO"
"Rothwell, Caroline","","Visual Arts","Arts Projects For Individuals and Groups","$27,000.00","23-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Shelton, Jacqui","Jacqueline Maree Shelton","Visual Arts","Arts Projects For Individuals and Groups","$10,823.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Smart, Sally","","Visual Arts","Arts Projects For Individuals and Groups","$30,000.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Snaith, Tai","Tai","Visual Arts","Arts Projects For Individuals and Groups","$22,660.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Sylvester, Darren","","Visual Arts","Arts Projects For Individuals and Groups","$20,000.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Theodore, Zoe","","Visual Arts","Arts Projects For Individuals and Groups","$10,320.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"van Hout, Ronnie","Ronald van Hout","Visual Arts","Arts Projects For Individuals and Groups","$19,100.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Winata, Amelia","","Visual Arts","Arts Projects For Individuals and Groups","$10,552.00","23-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Adam Eckersley and Brooke McClymont","","Multi-Artform","Contemporary Music Touring Program","$15,000.00","16-APR-2018","06-FEB-2018","NSW","AUSTRALIA","HUNTER"
"Brisbane Multicultural Arts Centre Inc","","Multi-Artform","Contemporary Music Touring Program","$15,000.00","16-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GRIFFITH"
